Date,Open,High,Low,Close,Volume
2023-09-25 03:00:00,23.7776,23.9982,23.7688,23.8305,14178000
2023-09-26 03:00:00,23.8041,23.8305,23.4598,23.4775,24245200
2023-09-27 03:00:00,23.6628,23.7599,23.2657,23.4334,22994100
2023-09-28 03:00:00,23.4157,24.1659,23.3451,24.0512,28652900
2023-09-29 03:00:00,24.2718,24.3336,23.8482,24.0159,17625200
2023-10-02 03:00:00,23.9541,23.9982,23.6187,23.7776,12612000
2023-10-03 03:00:00,23.6805,23.7688,23.4334,23.4775,21358300
2023-10-04 03:00:00,23.5658,24.1218,23.4951,24.0159,23806800
2023-10-05 03:00:00,23.9718,24.5631,23.8923,24.3954,28635400
2023-10-06 03:00:00,24.1748,24.9691,24.0335,24.6249,44140600
2023-10-09 03:00:00,24.4042,24.4925,24.1836,24.4131,14602500
2023-10-10 03:00:00,24.466,24.7573,24.263,24.3866,24579700
2023-10-11 03:00:00,24.4484,24.7308,24.3425,24.6955,15882400
2023-10-13 03:00:00,24.6602,24.7926,24.3513,24.4395,22275500
2023-10-16 03:00:00,24.6072,24.6249,24.3336,24.4748,11441300
2023-10-17 03:00:00,24.3601,24.4042,24.0071,24.113,26816300
2023-10-18 03:00:00,23.8923,24.0865,23.4863,23.6099,55863000
2023-10-19 03:00:00,23.5481,24.1836,23.4598,23.8835,23164800
2023-10-20 03:00:00,23.7599,24.0335,23.6011,23.7952,23777600
2023-10-23 03:00:00,23.7423,24.1041,23.6717,23.8217,16052700
2023-10-24 03:00:00,24.0512,24.1659,23.6717,23.8217,15850100
2023-10-25 03:00:00,23.8747,24.5631,23.8041,23.8658,25565100
2023-10-26 03:00:00,24.0071,24.5543,23.91,24.4572,28766600
2023-10-27 03:00:00,24.5719,24.6249,23.9982,24.0953,30176000
2023-10-30 03:00:00,24.263,24.263,23.8217,23.9011,15110200
2023-10-31 03:00:00,23.9011,23.9894,23.5304,23.6717,25392800
2023-11-01 03:00:00,23.7423,24.1306,23.707,23.9894,26217000
2023-11-03 03:00:00,24.4925,24.8102,24.316,24.6514,35317500
2023-11-06 03:00:00,24.7573,24.9073,24.6072,24.8808,18023400
2023-11-07 03:00:00,24.8808,25.7546,24.669,25.5781,60774300
2023-11-08 03:00:00,25.6487,25.7988,25.4016,25.6929,23697200
2023-11-09 03:00:00,25.7017,25.9753,25.4016,25.8076,25831200
2023-11-10 03:00:00,25.9665,26.3636,25.8341,26.1165,24499000
2023-11-13 03:00:00,26.0194,26.0547,25.7458,25.94,15016500
2023-11-14 03:00:00,26.0282,26.5402,25.9753,26.3283,41826500
2023-11-16 03:00:00,26.4784,26.9726,26.2754,26.752,41237700
2023-11-17 03:00:00,26.7343,26.9991,26.5843,26.8756,24575400
2023-11-20 03:00:00,26.902,27.2109,26.699,27.1403,23396400
2023-11-21 03:00:00,27.0344,27.2286,26.9285,27.0962,16598200
2023-11-22 03:00:00,27.2727,27.564,27.158,27.2639,38994500
2023-11-23 03:00:00,27.2639,27.4757,26.9903,27.2286,22853000
2023-11-24 03:00:00,27.1227,27.2639,26.8314,27.0786,20490800
2023-11-27 03:00:00,27.2109,27.3257,26.9285,27.0079,18069400
2023-11-28 03:00:00,26.9991,27.4051,26.902,27.2727,20636100
2023-11-29 03:00:00,27.5375,27.6964,27.2198,27.4581,22551800
2023-11-30 03:00:00,27.6258,27.9435,27.564,27.8817,43096800
2023-12-01 03:00:00,27.8464,27.9612,27.4757,27.8023,30515400
2023-12-04 03:00:00,27.6434,28.0229,27.6346,27.8376,12985900
2023-12-05 03:00:00,27.8817,28.2083,27.8199,28.0671,25971100
2023-12-06 03:00:00,28.173,28.2436,27.6434,27.8199,23288100
2023-12-07 03:00:00,27.7582,27.9082,27.5463,27.9082,20079700
2023-12-08 03:00:00,27.8288,28.3495,27.7493,28.2613,18519300
2023-12-11 03:00:00,28.1112,28.3054,28.0053,28.0671,19414400
2023-12-12 03:00:00,28.1377,28.1906,27.7052,27.9259,14850200
2023-12-13 03:00:00,27.9259,28.9232,27.9259,28.7732,47226300
2023-12-14 03:00:00,28.8967,29.1615,28.6055,29.0115,42572400
2023-12-15 03:00:00,29.0556,29.1615,28.5084,28.8879,27935300
2023-12-18 03:00:00,28.9762,29.1527,28.835,29.0291,27821700
2023-12-19 03:00:00,29.1439,29.4351,28.9762,29.0468,23910200
2023-12-20 03:00:00,28.9409,29.0997,28.6673,28.7467,22793900
2023-12-21 03:00:00,28.9056,29.0115,28.729,28.9409,21813000
2023-12-22 03:00:00,28.9673,29.6028,28.9497,29.3998,32650500
2023-12-26 03:00:00,29.4528,29.8147,29.3292,29.6999,23135400
2023-12-27 03:00:00,29.6646,29.9647,29.6293,29.9029,18176500
2023-12-28 03:00:00,29.9029,29.9823,29.7793,29.9823,12555300
2024-01-02 03:00:00,29.9117,29.9117,29.338,29.5852,18948200
2024-01-03 03:00:00,29.5763,29.8058,29.2586,29.2586,18530900
2024-01-04 03:00:00,29.2586,29.3292,28.8614,29.0644,26585200
2024-01-05 03:00:00,29.0468,29.744,29.0203,29.744,27726400
2024-01-08 03:00:00,29.5852,29.7176,29.3822,29.4263,11810700
2024-01-09 03:00:00,29.3027,29.5146,28.9409,29.4087,18939900
2024-01-10 03:00:00,29.3116,29.6028,29.2939,29.3822,10081600
2024-01-11 03:00:00,29.3116,29.6381,29.241,29.4351,20401200
2024-01-12 03:00:00,29.3557,29.5499,29.0909,29.4704,24367500
2024-01-15 03:00:00,29.4528,29.6293,29.2851,29.5234,9858400
2024-01-16 03:00:00,29.3027,29.6293,29.0821,29.1086,35504200
2024-01-17 03:00:00,29.038,29.2674,28.9762,29.1262,27003400
2024-01-18 03:00:00,29.3027,29.3027,28.8967,29.0026,22607200
2024-01-19 03:00:00,29.0821,29.1615,28.8703,29.0733,31813600
2024-01-22 03:00:00,29.0821,29.2763,28.2171,28.5966,36322300
2024-01-23 03:00:00,28.7555,28.7908,28.3936,28.729,21485900
2024-01-24 03:00:00,28.8703,29.188,28.5172,28.5966,23505900
2024-01-25 03:00:00,28.7555,28.835,28.4643,28.5349,15357400
2024-01-26 03:00:00,28.579,29.0468,28.5525,28.9585,14469000
2024-01-29 03:00:00,28.8703,29.0203,28.6408,28.8085,8784400
2024-01-30 03:00:00,28.7467,28.8967,28.5349,28.6231,21026800
2024-01-31 03:00:00,28.6673,29.4175,28.6584,28.932,23851600
2024-02-01 03:00:00,28.932,29.1792,28.4554,28.8526,23214000
2024-02-02 03:00:00,28.9056,29.0291,28.4113,28.8967,22364400
2024-02-05 03:00:00,29.0203,29.4528,28.9497,29.444,18657900
2024-02-06 03:00:00,29.6205,30.7767,29.3733,30.7061,67268496
2024-02-07 03:00:00,30.4501,30.7767,30.0971,30.4854,47151000
2024-02-08 03:00:00,30.3884,30.7502,29.8853,29.8853,48756600
2024-02-09 03:00:00,29.9029,30.3707,29.7793,30.2648,26971700
2024-02-14 03:00:00,30.1853,30.3972,30.1147,30.2648,12633200
2024-02-15 03:00:00,30.3442,30.5649,30.1324,30.5207,28507000
2024-02-16 03:00:00,30.609,30.7061,30.256,30.4854,22821200
2024-02-19 03:00:00,30.5207,30.8385,30.4943,30.8208,28274900
